epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.872,0,92.2996,0,0.00054,0.16176,0.00034,8e-05,3.37199,4.39949,3.07034,0.00065625,0.00065625,0.00065625
2,296.524,0,62.2575,0,0.00034,0.10294,0.00024,7e-05,3.45761,4.3676,2.9425,0.00119195,0.00119195,0.00119195
3,347.053,0,42.1662,0,0.00041,0.10294,0.00028,5e-05,3.95019,4.03385,3.15475,0.00159565,0.00159565,0.00159565
4,396.592,0,27.7071,0,0.00069,0.11275,0.0004,8e-05,3.71337,4.2015,3.09805,0.001406,0.001406,0.001406
5,441.916,0,17.2378,0,0.00046,0.07353,0.00041,0.00015,3.83095,4.08785,3.95518,0.001208,0.001208,0.001208
6,491.041,0,10.6237,0,8e-05,0.0049,4e-05,0,3.38164,6.09308,2.8662,0.00101,0.00101,0.00101
7,535.581,0,6.86448,0,8e-05,0.0049,4e-05,0,3.39709,4.63237,2.90645,0.000812,0.000812,0.000812
8,584.325,0,4.75751,0,8e-05,0.0049,4e-05,0,3.3983,4.83386,2.79708,0.000614,0.000614,0.000614
9,629.307,0,3.60395,0,8e-05,0.0049,4e-05,0,3.35563,6.03225,2.89549,0.000416,0.000416,0.000416
10,677.58,0,3.0317,0,8e-05,0.0049,4e-05,0,3.65151,5.41219,3.26426,0.000218,0.000218,0.000218
